order_id,date,customer,product,category,quantity,unit_price,region,sales,month
1001,2026-01-05,Alice,Keyboard,Electronics,2.0,45.5,West,91.0,2026-01
1002,2026-01-06,Bob,Mouse,Electronics,3.0,20.0,South,60.0,2026-01
1003,2026-01-07,Charlie,Desk,Furniture,1.0,250.0,North,250.0,2026-01
1004,2026-01-08,David,Chair,Furniture,4.0,75.0,East,300.0,2026-01
1005,2026-01-09,Eva,Monitor,Electronics,2.0,180.0,West,360.0,2026-01
1006,2026-01-10,Frank,Keyboard,Electronics,1.0,45.5,South,45.5,2026-01
1007,2026-01-11,Grace,Desk,Furniture,2.0,250.0,North,500.0,2026-01
1008,2026-01-12,Helen,Mouse,Electronics,5.0,20.0,East,100.0,2026-01
1009,2026-01-13,Ian,Chair,Furniture,3.0,75.0,West,225.0,2026-01
1010,2026-01-14,Jane,Monitor,Electronics,1.0,180.0,South,180.0,2026-01
1011,2026-01-15,Kevin,Keyboard,Electronics,2.0,45.5,North,91.0,2026-01
1012,2026-01-16,Lisa,Mouse,Electronics,2.0,75.0,West,150.0,2026-01
1013,2026-01-17,Mark,Desk,Furniture,2.0,250.0,South,500.0,2026-01
1014,2026-01-18,Nina,Chair,Furniture,2.0,75.0,East,150.0,2026-01
1015,2026-02-04,Sunny,Keyboard,Electronics,2.0,45.5,West,91.0,2026-02
1016,2026-02-05,Ratan,Mouse,Electronics,3.0,20.0,South,60.0,2026-02
1017,2026-02-06,Chintu,Desk,Furniture,1.0,250.0,North,250.0,2026-02
1018,2026-02-07,Ashish,Chair,Furniture,4.0,75.0,East,300.0,2026-02
1019,2026-02-08,Vishnu,Monitor,Electronics,2.0,180.0,West,360.0,2026-02
1020,2026-02-09,Surya,Keyboard,Electronics,1.0,45.5,South,45.5,2026-02
1023,2026-02-12,Chandan,Chair,Furniture,3.0,75.0,West,225.0,2026-02
1024,2026-02-13,Shekhar,Monitor,Electronics,1.0,180.0,South,180.0,2026-02
1025,2026-02-07,Rajesh,Chair,Furniture,4.0,75.0,East,300.0,2026-02
1026,2026-02-14,Chandra,Keyboard,Electronics,2.0,45.5,North,91.0,2026-02
1027,2026-02-15,Biswa,Mouse,Electronics,2.0,75.0,West,150.0,2026-02
1028,2026-02-16,Parag,Desk,Furniture,2.0,250.0,South,500.0,2026-02
1029,2026-02-17,Raju,Chair,Furniture,2.0,75.0,East,150.0,2026-02
