order_id,date,customer,product,category,quantity,unit_price,region
1001,1/5/2026,Alice,Keyboard,Electronics,2,45.5,West
1002,1/6/2026,Bob,Mouse,Electronics,3,20,South
1003,1/7/2026,Charlie,Desk,Furniture,1,250,North
1004,1/8/2026,David,Chair,Furniture,4,75,East
1005,1/9/2026,Eva,Monitor,Electronics,2,180,West
1006,1/10/2026,Frank,Keyboard,Electronics,1,45.5,South
1007,1/11/2026,Grace,Desk,Furniture,2,250,North
1008,1/12/2026,Helen,Mouse,Electronics,5,20,East
1009,1/13/2026,Ian,Chair,Furniture,3,75,West
1010,1/14/2026,Jane,Monitor,Electronics,1,180,South
1004,1/8/2026,David,Chair,Furniture,4,75,East
1011,1/15/2026,Kevin,Keyboard,Electronics,,45.5,North
1012,1/16/2026,Lisa,Mouse,Electronics,2,,West
1013,1/17/2026,Mark,Desk,Furniture,-1,250,South
1014,1/18/2026,Nina,Chair,Furniture,2,75,East
1015,2/4/2026,Sunny,Keyboard,Electronics,2,45.5,West
1016,2/5/2026,Ratan,Mouse,Electronics,3,20,South
1017,2/6/2026,Chintu,Desk,Furniture,1,250,North
1018,2/7/2026,Ashish,Chair,Furniture,4,75,East
1019,2/8/2026,Vishnu,Monitor,Electronics,2,180,West
1020,2/9/2026,Surya,Keyboard,Electronics,1,45.5,South
1021,2/10/2026,Shivaay,Desk,Furniture,2,250,North
1022,2/11/2026,Nitya,Mouse,Electronics,5,20,East
1023,2/12/2026,Chandan,Chair,Furniture,3,75,West
1024,2/13/2026,Shekhar,Monitor,Electronics,1,180,South
1025,2/7/2026,Rajesh,Chair,Furniture,4,75,East
1026,2/14/2026,Chandra,Keyboard,Electronics,,45.5,North
1027,2/15/2026,Biswa,Mouse,Electronics,2,,West
1028,2/16/2026,Parag,Desk,Furniture,-1,250,South
1029,2/17/2026,Raju,Chair,Furniture,2,75,East
